General,Juliet 'i melt with you' was which band's signature hit released on their 'after the snow' album in 1982,Modern english
General,How many gallons of fuel does a jumbo jet use during take off?,Four thousand
General,The Paris stock exchange,Bourse
General,What game of chance was originally called 'Beano',Bingo
General,What is the motto of the three muskateers,All for one & one for all
General,What is the flower that stands for: a heart ignorant of love,White rosebud
General,What nationality was the sculpture Brancusi,Romanian
General,"Who sang ""I Want My MTV"" on the Dire Straits song ""Money For Nothing""?",Sting
General,"Before Hitting The Big Time As A Singer & Tv Personality What Was ""Perry Como's "" Profession",A Barber / Hair Dresser
General,"Seventeen thousand how many camels carried the 117,000 volumes of abdul kassem ismael's library",400
General,Under Michigan State law who are officially classed mechanics,Dentists
General,"Medieval monks invented this stopper, necessary for champagne",Cork
General,In the body luteinizing hormone is produced by what gland,Pituitary
General,What are the stars in traditional Cornish Star Gazey pie,Pilchards eyes
General,What is raku,Japanese pottery
General,Proverbially it was a bold man who  first ate what,An Oyster
General,"What countries days include Fire day, Water day and wood day",Japan Tue Wed Thu
General,In golf what would you put in your shag bag,Practice Balls
General,"Constance Markiewicz, Became The Worlds First Ever What In 1918?",First British Female MP
General,Burning potassium has what colour flame,Purple
General,"Who directed the monochrome (sepia) sequences at the beginning and end of ""the wizard of oz"" (1939)",King vidor
General,What is the cap on the fire hydrant called,Bonnet
General,What dodgers and cubs first-baseman dropped baseball to take up actin,Chuck
General,Which usical instrument was invented by Henry Schluter?,Vibraphone
General,How long is a silver anniversary,25 years
General,Test of metal or ore for ingredients and quality,Assay
General,What is a woolly bear,Caterpillar
General,What is the name of the telescope that was placed in orbit in the eighties?,Hubble
General,"Where was The Beast, the first mobile robot, developed",Johns hopkins
General,The province of Alberta in Canada has been completely free of rats since what year,1905
General,Arlanda is the airport which serves which European city,Stockholm
General,What is a group of geese called,Gaggle
General,The last Nascar driver to serve jail time for running moonshine was who,Buddy arrington
General,"Which Capital City Is Home To ""Carrasco"" International Airport",Montevideo (Uruguay)
General,The worlds what museum is at 19 Green belt North York Ontario,Contraceptive
General,What is hippopotomonstrosesquippedaliophobia the fear of?,Long words
General,Metal framework on a vehicle to protect it in the event of a collision with a large animal,Bull bar
General,What is a Bellwether,Leader of flock of sheep
General,As what is 'South West Township' known in south africa,Soweto
General,What is the most important mineral for strong bones & teeth,Calcium
General,Of who did the u.s postal service print 500 million stamps in 1993,Elvis
General,What is 'bountiful mother' in latin,Alma mater
General,What was the name of john lennon and cynthia lennon's son,Sean
General,Lake Vanern is the largest lake in which country,Sweden
General,"What is the missing word in english with the letter combination 'uu' vacuum, muumuu, continuum, residuum, duumvir",Duumvirate
General,Isolophobia is the fear of,"Solitude, being alone"
General,"Name the wife of King Ahab, who Jehu ordered to be thrown to her death from a window",Jezebel
General,If not Shakespeare what links Juliet Cleopatra Mark Antony,Commit Suicide
General,Who was the first person to prove that planets move in elliptical orbits,Kepler
General,Who was the first black mayor of Chicago?,Harold Washington
General,Which architect designed London's tallest building The Shard?,Renzo Piano
General,"Which meteorological phenomena means ""a curl of hair"" in Latin",Cirrus - clouds
General,Originally a Toss Pot did a lot of what,Drinking - Alcohol
General,What country is Men Without Hats originally from?,Canada
General,"What Did Bruce Willis, Harvey Keitel & Winston Churchill All have to overcome?",Stutters / Stammers
General,What 3 ingredients make a sidecar cocktail,Brandy Cointreau Lemon juice
General,Anna Maria Louisa Italiano changed her name to what,Anne Bancroft
General,An Aficionado originally followed what sport,Bullfighting
General,Which U.S. boxer was known as 'The Manessa Mauler',Jack dempsey
General,What does a Stupprator prefer sexually,Virgins
General,An elephant has 400000 what in its trunk,Muscles
General,The Zagros mountain range is in which country,Iran
General,In South Korea traffic police must report what,Tourists bribes taken
General,What does SALT stand for,Strategic arms limitation treaty
General,Which chemical element has the atomic number 4?,Berylium
General,Who had a hit no 5 in US 1971 with Bridge over Troubled Water,Aretha Franklin
General,What country covers an entire continent,Australia
General,Who was responsible for driving the english out of scotland in 1297,William
General,What is the front of a saddle called?,Pommel
General,Fried Chicken Strawberry Shortcake trad Xmas eve meal where,Japan
General,U.S. Captials - Michigan,Lansing
General,Which epic film was based on a novel by Lew Wallace,Ben hur
General,What are the young of a rabbit called,Kittens
General,What planet did Alf come from?,Melmac
General,Who wrote dionne warwick's 'walk on by' and 'say a little prayer',Burt
General,What is the technical difference between rowing and sculling,Rowing means using a single oar
General,"Outside poland, where is the largest polish population",Chicago
General,In The Film Saving Private Ryan What Was Private Ryan's First Name?,James
General,"What song won the grammy for ""song of the year"" in 1977",You light up my
General,How did George II die,Fell off toilet
General,"Electric, Perse and smalt shades of which colour",Blue
General,Every day in the US people steal $20000 from where,Vending machines
General,"Who wrote ""The Picture of Dorian Grey""",Oscar wilde
General,Indiana jones: who was known to get lost in his own museum,Marcus brody
General,"In Which Childrens TV Show Will You Find The Characters Of ""Florrie & Baby Pom""",The Fimbles
General,Mr Chips said goodbye from Brookfield school - What subject,Latin
General,Where is the worlds largest mine,Carletonville South Africa
General,Florence Nightingale tended the soldiers in which war,Crimean
General,What is the name of the cord joining a mother & her unborn child,Umbilical cord
General,What Is Joseph Cyril Bamfords Claim To Fame?,The JCB Earth Mover
General,"An atom is comprized of these 3 subatomic particles: electron, neutron, & _____",Proton
General,What are the colours of the Olympics rings (in order).?,Blue Yellow Black Green Red
General,Who Was The First Woman To Appear Naked On The Front Cover Of The Radio Times,Helen Mirren
General,What was known as the spice island,Zanzibar
General,In which county is Charnwood Forest,Leicestershire
General,What is the name of the Tokyo Stock Market Index,Nikkei
General,"In The Pilgrim's Progress, which city of Christian's final destination",Celestial city
General,What is the derivative of sin x,Cos x
General,What name is given to the fraction part of a logarithm number?,Mantissa
General,Ralph Freeman designed which Australian landmark,Sydney harbour bridge
General,What animals teeth were used as knife blades by the Indians,Beaver
General,Norman Bean became famous as which author,Edgar Rice Burroughs
General,In which tv series does fred savage play kevin arnold,The wonder years
General,What are people encouraged to kiss under,Mistletoe
General,In Islington in London it’s a £50 fine for sleeping where,The Public Library
General,If a dish is served pomontier what does it contain,Potatoes
General,Creedence clearwater revival sings 'have you ever ______',Seen the rain
General,"In the tv series 'leave it to beaver', what was wally's best friend's name",Eddie haskell
General,What fashion designers symbol is a swan,Gloria Vanderbilt
General,In which English town or city would you find The Christmas Steps,Bristol
General,96% of American children can recognise - who,Ronald MacDonald
General,What are the grinding teeth called,Molars
General,In 2001 one active UK warship named after an Englishman who,Sir Winston Churchill
General,What country has the most bookshops per head population,New Zealand
General, Legal Terms: A supplement to a will.,Codicil
General,Edward Whymper was the first to do what,Climb Matterhorn
General,"A 1957 title recorded by the Crickets, was a line taken from the classic John Ford Western's 'The Searchers'. What was the title",That'll Be the Day
General,Opperman what is the capital of iowa,Des moines
General,"Saanen, Hongtong & Toggenburg Are All Breeds Of Which Animal",Goats
