History & Holidays,"In 1951 Howard Hawks Produced The Thing. Who Directed The 1982 remake, Starring Kurt Russell ",John Carpenter 
History & Holidays,What amendment to the u.s. constitution ended prohibition ,The twenty first 
History & Holidays,Where Did Napoleon Bonaparte Die In Exile? ,St Helena 
History & Holidays,"What country did poinsettias originally come from? (Mexico,Us, Spain ,Brazil) ",Mexico 
History & Holidays,Who Became premier of Cuba in 1959. ,Fidel Castro 
History & Holidays,According to the song what did my true love give to me on the fifth day of Christmas ,Five Gold Rings 
History & Holidays,What asian leader was known as the little brown saint ,Mahatma gandhi 
History & Holidays,Who was the ruler of the USSR from 1917-22? ,Vladimir Lenin 
History & Holidays,The land that would eventually be known as oklahoma was part of the what in 1803 ,Louisiana purchase. 
History & Holidays,"William the First was crowned on Christmas day, but in what year ",1066 
History & Holidays,In The Film 'Halloween' For How Many Years Was The Killer Locked Up In An Asylum Before He Escaped ,15 Years 
History & Holidays,"In 'Bridget Jones Diary'', Bridget Jones makes a New Years Resolution, to sort out her life, meet a man and keep a diary, but who played Bridget Jones ",Renée Zellweger 
History & Holidays,"""What Did My True Love Give To Me On The """"Nineth"""" Day Of Christmas"" ",9 Ladies Dancing 
History & Holidays,In Which Modern Day Country Would You Find The Region Known As Transylvania ,Romania 
History & Holidays,"In 1959, Berry Gordy Jr. started a small record company called ",Motown 
History & Holidays,Which great American inventor died in October 1931? ,Thomas Edison 
History & Holidays,Which Olympics did the US boycott? ,1980 
History & Holidays,What English city was known to the Romans as Venta Bulgarum?,Winchester
History & Holidays,What was the leading cause of death in the late 19th century?,Tuberculosis
History & Holidays,Where In Egypt Is The Tomb Of Tutankhamen ,"Valley Of The Kings, Luxor "
History & Holidays,*What were the 'character' names of the 3 lead women of Charlie's Angels? (PFE)* ,"Sabrina, Kelly, Jill "
History & Holidays,In What Year Did The Vietnam War Begin ,1954 
History & Holidays,Who Wtote The Book 'How The Grinch Stole Christmas' ,Dr Seuss 
History & Holidays,Who had a hit with the smooth and soulful You To Me Are Everything ? ,The Real Thing 
History & Holidays,The Gold Coast gained its independence from Great Britain in 1957 and renamed itself as what ,Ghana 
History & Holidays,Which Football Team Became The First To Win The European Cup Winners Cup In 1963 ,Tottenham (Spurs) 
History & Holidays,How do you write 69 in Roman numerals?,LXIX
History & Holidays,In which country was the Rosetta Stone found,Egypt
History & Holidays,What Was The Contribution Of Actress Mercedes McCambridge To Linda Blairs Performance In The Excorcist ,Provided The Devils Voice 
History & Holidays,What's the oldest college in the u.s. ,Harvard 
History & Holidays,Where in the UK would you go to celebrate 'Uphelia'' shortly after Christmas ,Shetland Isles 
History & Holidays,"""What Is The Name Of The Toy That Arnold Schwarzenegger Desperately Tries To Get For His Son For Christmas In the Film """"Jingle All The Way""""?"" ",Turbo Man 
History & Holidays,On what date did America become an independant nation?,"July 4th, 1776"
History & Holidays,Alphabetically Which Is The Last Of Santa's Reindeers? ,Vixen 
History & Holidays,Dr. Christian Barnard performed the world's first ever what in South Africa in 1967. ,Heart Transplant 
History & Holidays,Godzilla first made his mark so to say in 1954. What do the Japanese call Godzilla ? ,Gojira 
History & Holidays,"What Connects Kenny, Everett, Annie Lennox, And Sir Isaac Newton ",Born On Xmas Day 
History & Holidays,The second line of which carol is '… When they are both full grown'' ,The Holly & The Ivy 
History & Holidays,What notorious event occurred on the 24th October 1929? ,The Wall Street Crash or (Black Thursday) 
History & Holidays,"Whose epitaph reads, free at last, free at last, thank god almighty, i'm free at last ",Martin luther king jr. 
History & Holidays,In What Year Was Band Aids 'Do They Know Its Christmas' The UK Christmas No.1 Single ,1984 
History & Holidays,Who was UK Labour cabinet minister and social reformer Frank Pakenham better known as? ,Lord Longford (7th Earl of Longford) 
History & Holidays,Who was known as 'the peanut president'?,Jimmy Carter
History & Holidays,What toy was released in 1957 creating an instant craze among children? ,The Hula Hoop 
History & Holidays,In What Year Was The Chinese Republic Established ,1911 
History & Holidays,Who Was Declared Dead On New Years Day 1953 At The Age Of 29? ,Hank Williams 
History & Holidays,In which country do they pound rice into a glutinous form using a huge hammer? ,Japan 
History & Holidays,Of which Cambodian party was Pol Pot the leader?,Khmer Rouge
History & Holidays,Which Revolutionary Icon Was Killed On 9th October 1967 ,Che Guevara 
History & Holidays,Which Actor Of The Silent Era Was Known As 'The Man Of A Thousand Faces' ,Lon Chaney 
History & Holidays,What Was The Name Of The Son Of Cleopatra & Julius Caesar ,Caesarion 
History & Holidays,Which TV Character Owns A Talking Cat Called Salem ,Sabrina Teenage Witch 
History & Holidays,Which member of the Beatles got his first drum kit on Christmas Day 1957 ,Ringo Starr 
History & Holidays,Which U.S. President was the first to have a Christmas tree in the White House? ,Franklin Pierce (1853-1857) 
History & Holidays,Name The 8 Reindeer From 'The Night Before Christmas' Poem ,"Blitzen, Comet, Cupid, Dancer, Dasher, Donner, Prancer, Vixen "
History & Holidays,Who assassinated John Lennon?,Mark David Chapman
History & Holidays,How Long Was The Hundred Years War? ,116 Years 
History & Holidays,"""What Was The Name Of The Character That Henry Travers Plays In The Movie """"It's A Wonderful Life"""""" ",Clarence Oddbody 
History & Holidays,Who Played The Title Role In The 1960 Hammer Production The Curse Of The Werewolf ,Oliver Reed 
