Language,"The name for this semi-precious stone comes from the Latin for ""sea water""",Aquamarine
Language,"Other than Germany, whose official language is German?",Austria
Language,What ONE word fits? ____stream; ____hill; _____pour.,Down
Language,What is 'military governor' in Japanese?,Shogun
Language,What is the meaning of the Mercedes Benz motto 'Das beste oder nichts'?,The best or nothing
Language,"""Entre nous"" means __________.",Between ourselves
Language,What is the Spanish word for 'festival'?,Fiesta
Language,"The name Australia is derived from the Latin word ""australis"" which means _______.",Southern
Language,What does the abbreviation N/A mean?,Not applicable
Language,The Scots call it 'shinty' - what do Canadians and Americans call it?,Hockey
Language,What is the official language of Austria?,German
Language,"What three letter word means the same as ""to ingest""",Eat
Language,What ONE word fits ____stream; ____hill; _____pour.,Down
Language,From what Irish words is 'Dublin' derived?,Dubh linn
Language,"What word contains the combination of letters: ""xop""",Saxophone
Language,"What does ""c'est la vie"" mean",That's life
Language,What two words make the word 'meld'?,Melt and weld
Language,"Multiple Meanings:  Slamming your hands together quickly, or a venereal disease.",Clap
Language,What does the Irish 'dubh linn' mean?,Black pool
Language,What is the only English word formed by the first three letters of the alphabet?,Cab
Language,What is the Israeli 'knesset'?,Parliament
Language,This animal is found at the beginning of an (English) encyclopedia,Aardvark
Language,What is the first letter in the Greek alphabet?,Alpha
Language,Multiple Meanings:  Drinking utensils or sight-enhancers.,Glasses
Language,What does 'A&W' (of root beer fame) stand for ?,Allen & Wright
Language,What is the official language of Senegal?,French
Language,What does N.A.S.A stand for?,National Aeronautics and Space Administration
Language,Which two fruits are an anagram of each other?,Lemon and melon
