Mathematics,The angles inside a square total _______ degrees.,360
Mathematics,How many nickles are there in $2.25,45
Mathematics,The first antiderivative of acceleration is:,Velocity
Mathematics,An angle greater than 180 degrees and less than 360 degrees is a(n) ________ angle.,Reflex
Mathematics,What is the maximum number of integer degrees in a reflex angle?,359
Mathematics,Two angles that total 180 degrees are called _______.,Supplementary
Mathematics,What is the minimum number of integer degrees in an obtuse angle?,91
Mathematics,Name the number system which uses only the symbols 1 and 0.,The binary system
Mathematics,If you cut through a solid sphere what shape will the flat area be,Circle
Mathematics,Approximately how many inches are there in one meter?,Thirty nine
Mathematics,Benoit Mandelbrot discovered what mathematical structures?,Fractals
Mathematics,Solve this: 10*3+2?,32
Mathematics,Who invented logarithms ?,John Napier
Mathematics,What is the maximum number of integer degrees in an obtuse angle?,179
Mathematics,What is the square root of one quarter?,One half
Mathematics,"If you count from 1 to 100, how many 7's will you come across?",20
Mathematics,An integer that is greater than 1 and is divisible only by itself and 1 is known as a(n) _______.,Prime
Mathematics,Approximately how many inches are there in one meter,39
Mathematics & Geometry,A triangle with three equal sides is called _______.,Equilateral
