Food & Drink,The eggs of this sturgeon are the preferred form of caviar.,Beluga
Food & Drink,What colour is chablis? ,White 
Food & Drink,Where is the oldest distillery in the world? ,"The Old Bushmills, Cty Antrim "
Food & Drink,Singapore banned which popular western foodstuff because of litter implicatons? ,Chewing Guim 
Food & Drink,Who released the following album 'Strange brew ' ,Cream 
Food & Drink,Who In The World Of Music Has The Real Name Of Derek Dick ,Fish 
Food & Drink,What do you get when you add fresh fruit to red wine ,Sangria 
Food & Drink,Which type of restaurant popularized the use of conveyor belts? ,Sushi Restaurants 
Food & Drink,Who released the following 'edible' album 'Pretzel logic' ,Steely Dan 
Food & Drink,"Italian dish consiting of olives, anchovies, salami, celery, and appetizers.",Antipasto
Food & Drink,Food That Is Permitted To Be Eaten Under Jewish Dietary Laws Is Known As What ,Kosher 
Food & Drink,Which contains more caffeine - coffee beans or tea leaves? ,Tea Leaves 
Food & Drink,"What drink is a mixture of brandy, egg yolks & vanilla? ",Advocaat 
Food & Drink,How Are The TV Chefs 'Simon King & David Myers'' More Commonly Known ,The Hairy Bikers 
Food & Drink,"Creme de Cacao, cream, and brandy make up which type of cocktail ",Brandy Alexander 
Food & Drink,What Dessert Consists Of Ice Cream Covered In Meringue And Baked In The Oven ,Baked Alaska 
Food & Drink,What 'R'' Is The Name Given To A Picked Herring ,Rolemop 
Food & Drink,What is the most common pub name in Great Britain? ,The Red Lion 
Food & Drink,"This drink is made from espresso coffee, steamed milk and chocolate.",Mocha
Food & Drink,Which Type Of Prepared Bread Is Named After An Opera Singer? ,Melba Toast 
Food & Drink,What can you do after eating a garlic doused Indian meal in order to prevent your breath smelling of garlic the day after? ,Drink a Lassie (yoghurt drink) to coat your throat 
Food & Drink,"In 1999, which American retail giant announced that it was buying the Asda food retail chain? ",Wal-Mart 
Food & Drink,What is the minimum age for scotch whisky before it can be sold in the uk? ,3 Years 
Food & Drink,Which Ancient Central American Civilisation Were Drinking Chocolate Milk As Long Ago As 600 BC ,Mayans 
Food & Drink,"Bourbon, sugar and mint make up which type of Cocktail ",Mint Julep 
Food & Drink,In which dishes is sticky rice used? ,Sushi 
Food & Drink,Where was Budweiser first brewed?,St. Louis
