Tech & Video Games,"Who said ""All life begins and ends with Nu___at least this is my belief for now___""?                                                 ",Nu
Tech & Video Games,"In the 'Extreme Battle' mini-game in 'Resident Evil 2', what characters are selectable?                                              ","Claire, Leon, Ada, and Chris"
Tech & Video Games,Which body part is found in Bodley Mansion in 'Castlevania II: Simon's Quest'?                                                       ,An eye
Tech & Video Games,"In the game Joust, what animal was your mount?                                                                                       ",An Ostritch
Tech & Video Games,What video game starts out with Koma Pigs stealing your treasured bracelet?                                                          ,Tomba!
Tech & Video Games,How many buttons (excluding the control pad) did the original NES controller have?                                                   ,4
Tech & Video Games,Who created the music for N2O: Nitrous Oxide?                                                                                        ,The Crystal Method
Tech & Video Games,Who is the famed musical director for Square's Final Fantasy series?                                                                 ,Nobuo Uematsu
Tech & Video Games,What is the development team at Nintendo headed by Shigeru Miyamotocalled?                                                           ,EAD
Tech & Video Games,Which was the first manned aircraft to exceed the speed of sound ?,Bell X-1
Tech & Video Games,The Sega Genesis game about two lost aliens looking for their spaceship was called what?                                             ,ToeJam and Earl
Tech & Video Games,Who is the main character from Nintendo's 'Earthbound'?                                                                              ,Ness
Tech & Video Games,In which Mega Man game did Mega Man first gain the ability to charge up his shots?                                                   ,Mega Man 4
Tech & Video Games,What does the 'x' mean when referring to the speed of a CD-rom (eg. 32x)?,Times (faster than standard speed)
Tech & Video Games,"In the Sonic the Hedgehog series, what serves as your energy?                                                                        ",Rings
Tech & Video Games,"Who is the boss of the SNES game, 'Ranma 1/2: SUPER Hard Battle'?                                                                    ",Herb
Tech & Video Games,What does LED stand for?,Light Emitting Diode
Tech & Video Games,On what non-Nintendo console can you find Zelda games?                                                                               ,Philips CD-I
Tech & Video Games,What is IRC an acronym for?,Internet relay chat
Tech & Video Games,What is the reason behind the layout of the Qwerty keyboard ?,To slow down typing rates
Tech & Video Games,What is Mario's profession?                                                                                                          ,Plumber
Tech & Video Games,Who is Mega Man's creator?                                                                                                           ,Dr. Light
Tech & Video Games,What entertainment product did Nintendo make before entering the video game business?                                                ,Playing cards
Tech & Video Games,Which character was introduced in 'Super Street Fighter II'?                                                                         ,Cammy
Tech & Video Games,"What is the name of the cloud-riding, glasses-wearing koopa in the Super Mario Bros. series?                                         ",Lakitu
Tech & Video Games,Who has the world's largest double-decker tram fleet?,Hong Kong
Tech & Video Games,What was the name of the first plane ever to fly ?,Flyer
Tech & Video Games,Linux is a clone of what operating system?,UNIX
Tech & Video Games,Who programmed Roller Coaster Tycoon?                                                                                                ,Chris Sawyer
Tech & Video Games,What is the signature move of the Bombs in the Final Fantasyseries?                                                                  ,Exploder
Tech & Video Games,What does 'IBM' stand for?,International Business Machines
Tech & Video Games,"What is a ""koopa?""                                                                                                                   ",A turtle
Tech & Video Games,What is the most powerful whip in 'Castlevania 2'?                                                                                   ,Flame Whip
Tech & Video Games,Which legendary games designer/producer created the Super Mario Brothers franchise for Nintendo?,Shigeru Miyamoto
Tech & Video Games,What does CR-ROM stand for?,Compact Disk Read Only Memory
Tech & Video Games,How many fighters are playable in 'Street Fighter II'?                                                                               ,8
Tech & Video Games,How many bits are in a nibble ?,4
Tech & Video Games,Who is the Linux operating system named after ?,Linus Torvalds
Tech & Video Games,Who was the main character in the original 'Street Fighter'?                                                                         ,Ryu
Tech & Video Games,What did the letters in ROB (the old NES peripheral) stand for?                                                                      ,Robotic Operating Buddy
Tech & Video Games,"In the original Contra, what gun would ""S"" get you?                                                                                  ",Spread Gun
Tech & Video Games,Samus Aran is the femme-fatale of which series of games?                                                                             ,Metroid
Tech & Video Games,Which brothers built a home-made supercomputer to calculate the digits of Pi ?,Chudnovsky
Tech & Video Games,"Name the final boss from each Final Fantasy game (1-8, in that order).                                                               ","Chaos, Emperor from Hell, Dark Cloud, Zeromus, Deathgyunos, Kefka, Sephiroth, and Ultimecia"
Tech & Video Games,When was the first 'Final Fantasy' created?                                                                                          ,1987
Tech & Video Games,Circuits can be wired in parallel or ______?,Series
Tech & Video Games,What was the first version of Microsoft Windows?,Windows 286
Tech & Video Games,Which company made the original 'Donkey Kong'?                                                                                       ,Nintendo
