People & Places,Which is the largest of the Canary Islands? ,Tenerife 
People & Places,What Did You Associate With Rod Hull ? ,Emu 
People & Places,Which British comedian became well known for his broken microphone routine? ,Norman Collier 
People & Places,Whose son got lost in the desert during the Paris Daker rally ? ,Mrs Thathchers Son Mark 
People & Places,Which FootbaIl Bad Boy Was Accused Of Violent Assault Against Tv Presenter Ulrika Jonsson ,Stan Collymore 
People & Places,Who Was The First man To Set Foot On The Moon ? ,Neil Armstrong 
People & Places,What is the singer Meat Loafs Real Name ,Marvin Lee Aday 
People & Places,Who Sued For Libel After Being Described As Boring ,William Roache (Ken Barlow) 
People & Places,Whose Daughter Married Thin Lizzys Phil Lynott ,Leslie Crowther 
People & Places,Whom Did Neil Kinnock Succeed As Leader Of The Labour Party? ,Michael Foot 
People & Places,Who Was Humphrey Bogarts 4th Wife ? ,Lauren Bacall 
People & Places,What Surrey town is famed for its salts?,Epsom
People & Places,How Did Dmaon Hill's Father Graham Die ? ,In A Plane Crash 
People & Places,Which Celebrity Launched A Perfume Range Entitled 'M' Just In Time For Christmas 2007 ,Mariah Carey 
People & Places,Which Politician Punched A Protestor Who Threw An Egg At Him During A Visit To Wales In 1991 ,John Prescott 
People & Places,Which Actress Was Sued For Not Acting In Boxing Helena ,Kim Bassinger 
People & Places,Which Famous Tv Presenters Are Former MP's ,"Brian Walden, Robert Kilroy Silk "
People & Places,Which Liberal Leader Was Aquitted Of Attempted Murder ,Jeremy Thorpe 
People & Places,Which European City Is Famous For Its Latin Quarter ,Paris 
People & Places,What Is Princess Diana's Madien Name ? ,Spencer 
People & Places,In Which Country Was Paper Magnate Robert Maxwell Born ? ,Czechoslovakia 
People & Places,Jane Caine Has A Claim To Fame As The First Person To Do What ,Speaking Clock Voice 
People & Places,Who was The Second Man To Set Foot On The Moon ,Buzz Aldrin 
People & Places,Which Footballer Drop Kicked A Fan At Crystal Palace ,Eric Cantona 
People & Places,Which Politician was Nick Named Bambi ,Tony Blaire 
People & Places,Which James Bond Actor Once Worked As A Coffin Polisher ,Sean Connery 
