Sports & Leisure,In the game of cricket which bird name means scoring no runs ,Duck 
Sports & Leisure,Football: The Denver ____?,Broncos
Sports & Leisure,Which Modern Gymnastics Event Made Its First Appearance At The 2000 Sydney Olympics ,Trampolining 
Sports & Leisure,Who Won The US Open Men's *Tennis * Title in 1990 At The Age Of Just 19? ,Pete Sampras 
Sports & Leisure,How Many Suits Are There In A Game Of (Mah Jong) ,3 Suits 
Sports & Leisure,"In Boxing Who Suffered Defeats To Tim Witherspoon, Mike Tyson & Lennox Lewis ",Frank Bruno 
Sports & Leisure,A Silver Fern Is The Emblem Of Which Nations Rugby Union Team? ,New Zealand 
Sports & Leisure,Which snooker player ended Stephen Hendry's five-year unbeaten run at The Crucible? ,Ken Doherty 
Sports & Leisure,In Which Athletics Event Are Competitors Known As Either 'Spinners Or Shifters'' ,Shot Putt 
Sports & Leisure,Where were the 1988 Olympics held ?,"Seoul, South Korea"
Sports & Leisure,Which Country Hosted The Olympic Games In 2004? ,Greece (Athens) 
Sports & Leisure,In which Gymnastics discipline would a man do the scissors? ,Pommel Horse 
Sports & Leisure,Who Was The First Professional Footballer To Be Knighted ,Sir Stanley Matthews 
Sports & Leisure,What Colour Caps Do The Australian Cricket Team Wear ,Green 
Sports & Leisure,Who Rode Shergar To Victory In The Epsom Derby? ,Walter Swinburn 
Sports & Leisure,At which sport was Fred Perry crowned world champion in 1929? ,Table Tennis 
Sports & Leisure,In Which Scandanavian Country Is Gambling Illegal ,Sweden 
Sports & Leisure,What Do The Initials TT Stand For In Regard With The Isle Of Man Motorcyle Race? ,Tourist Trophy 
Sports & Leisure,Tony Drago is a snooker professional from which country? ,Malta 
Sports & Leisure,What Events Are Involved In A Biathlon ,Cross Country Skiing & Shooting 
Sports & Leisure,How many balls are on a pool table at the start of a game? ,16 
Sports & Leisure,Which Football Team Play Their Home Games At Stamford Bridge ,Chelsea 
Sports & Leisure,Loftus Road is the home of which football club? ,Queens Park Rangers 
Sports & Leisure,The Solheim Cup Is The Womans Equivalent Of Whhich Famous Sporting Cup ? ,The Ryder Cup 
Sports & Leisure,"How is the chess term ""shah mat"" better known ?",Checkmate
Sports & Leisure,Which Team Has Won The County Cricket Championships The Most Often? ,Yorkshire 
Sports & Leisure,What is the last event in a decathlon ? ,1500 Metres 
Sports & Leisure,Which English club was formed in 1887 as Ardwick FC? ,Manchester United 
Sports & Leisure,The German Athlete Jurgen Hingsen was always runner-up to which British Athlete in major competitions? ,Daley Thompson 
Sports & Leisure,What piece of sporting equipment has a maximum length of 42 inches and a maximum thickness of 1 & 1/2 inches? ,A Baseball Bat 
Sports & Leisure,In Which Athletics Even Might You Use A Fosbury Flop ,High Jump 
Sports & Leisure,In Which Blood Sport Are Banderillas Used ,Bull Fighting 
Sports & Leisure,Which Famous Athletics World Record Stood Between 1968 & 1991 ,Bob Beamans Long Jump 
Sports & Leisure,Which Sport Do The Miami Dolphins Play? ,American Football 
Sports & Leisure,From Which Country Do The Soccer Team Anderlecht Hail ,Belgium 
Sports & Leisure,Alan Shearer was the first player to score 200 Premiership goals. Who was the second? ,Andy Cole 
Sports & Leisure,How Many Lanes Does An Olympic Standard Swimming Pool Have ,Eight 
Sports & Leisure,"In pro football a ""sudden death"" period lasts how many minutes long?",Fifteen
Sports & Leisure,What Are Goldie & Isis ,Reserve Boats For The Boat Race
Sports & Leisure,Between 1950 And 2000 Name Three Tennis Players Born in Germany That Won The Men's Singles Title At Wimbledon? (PFE) ,"Boris Becker , John McEnroe & Michael Stich "
Sports & Leisure,What Is The Most Popular Finishing Double In Professional Darts? ,Double 16 
Sports & Leisure,A Statue Of Billy Bremner Stands Outside The Ground Of Which Football Ground? ,Leeds United 
Sports & Leisure,In Athletics Track Races What Does The Ringing Of A Bell Signify ,The Last Lap 
Sports & Leisure,Who was the first NHL player to score 50 goals in one season?,"Maurice Richard <-- pronounced ""Reeee-shard"""
Sports & Leisure,Who Ended Up Winning The Formula One Drivers Championship In 2007 ,Kimi Raikkonen 
Sports & Leisure,Which English Footballer Was Sent Off In The 1998 World Cup ,David Beckham 
Sports & Leisure,What was football player Dick Lane's nickname,Night train
Sports & Leisure,How Many People In A Tug Of War Team ,8 People 
Sports & Leisure,Football: The San Diego ______?,Chargers
Sports & Leisure,What Distance Is Covered In One Circuit Of A Modern Outdoor Running Track? ( In Meters) ,400 Metres 
Sports & Leisure,Where were the 1896 Olympics held ?,"Athens, Greece"
Sports & Leisure,How Many Jumps Are There In The Grand National ,30 Jumps 
Sports & Leisure,Which Premiership Club Play Their Home Games At The JJB Stadium? ,Wigan Athletic 
Sports & Leisure,Which footballer was sentenced to 3 months at Ford Open Prison in 1984 for drink driving and assaulting a police officer? ,George Best 
Sports & Leisure,What Is Lepidoptery Better Known As ,Butterfly Collecting 
Sports & Leisure,Who won a boxing gold medal at Sydney in 2000 in the super heavyweight division? ,Audley Harrison 
Sports & Leisure,What Country Was The First To Win The World Cup & What Country Was The First To Host It (PFE) ,Uruguay & Uruguay 
